"GEOID","Violation.Count","Mean.Address.Violation.Count","Mean.Property.Violation.Ratio","Mean.Days.Open","Total Population: Total","PerCapitaViolationCount"
"29095007600",418,2.9645390070922,0.474307666328943,794.472836879433,2100,0.199047619047619
"29095007700",317,3.52222222222222,0.408229918229918,853.444444444444,1703,0.186142102172637
"29095007802",373,4.97333333333333,0.496925925925926,662.3448,2348,0.15885860306644
"29095007900",760,3.61904761904762,0.478681027966742,760.328571428571,3710,0.204851752021563
"29095008000",276,2.76,0.391130952380952,765.5867,2980,0.0926174496644295
"29095008100",233,3.10666666666667,0.516592592592593,755.213333333333,1894,0.123020063357973
"29095008200",64,3.2,0.533214285714286,685.429,3133,0.020427705075008
"29095008300",7,3.5,1,418,2355,0.0029723991507431
"29095008400",5,1.66666666666667,1,417.333333333333,2822,0.00177179305457123
"29095008500",15,3.75,0.520833333333333,927,3452,0.00434530706836616
"29095008600",120,3.52941176470588,0.615476190476191,818.911764705882,5318,0.0225648740127868
"29095008700",438,3.22058823529412,0.457227209065444,547.242647058824,2344,0.186860068259386
"29095008800",596,3.20430107526882,0.414607674285094,762.381720430108,3363,0.177222717811478
"29095008900",404,3.48275862068966,0.386689244663383,674.780172413793,2144,0.188432835820896
"29095009000",848,3.15241635687732,0.302201134807278,640.191710037175,4620,0.183549783549784
