GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950133012,49,1177,0,322,26,86,66,43,0,0,27817,31.5
290950133013,32.7,1008,9,329,37,22,85,30,0,0,44271,50
290950133071,32.1,1105,6,330,55,39,42,17,0,0,36765,16.5
290950133072,41.2,1780,16,198,7,106,125,86,5,0,40456,27.9
290950133091,47,1245,14,236,28,69,146,54,16,11,53194,
290950133092,32.9,1562,11,310,33,36,166,57,0,10,70811,28.8
290950133093,33,1629,0,196,68,72,89,36,0,24,26940,31.9
290950021001,54.2,419,0,71,35,0,54,0,0,0,22303,45.3
290950133131,31.3,1510,2,243,39,121,181,10,10,19,49934,50
290950133132,37.9,1723,0,258,56,122,189,96,0,20,60625,20.6
290950133133,31.4,1910,8,367,19,97,108,66,0,0,63000,34.8
290950134011,31.5,1538,0,164,26,46,141,32,18,3,39688,32.6
290950134012,24.5,920,9,107,32,20,19,11,5,0,37250,31.3
290950134013,24.4,460,9,33,19,23,30,0,0,0,33688,20
290950134051,28,1060,15,132,42,21,134,30,5,8,31538,50
290950134052,62.2,602,0,84,6,30,84,117,10,44,53015,37.8
290950134053,17.4,700,12,33,31,11,30,0,0,5,9773,33
290950134071,57,863,0,28,12,44,271,95,38,46,89375,
290950021002,22,866,0,135,23,19,40,0,0,0,16141,49.4
290950134072,56,1762,16,260,9,75,406,142,119,67,53125,50
290950134081,28.6,1855,0,105,15,138,311,175,12,56,53229,26.9
290950134082,36.2,1917,0,387,26,90,200,104,46,0,56384,22.5
290950134083,64.4,567,0,112,0,45,119,47,0,0,55474,
290950134084,40.9,889,0,178,6,19,168,77,67,17,61389,
290950134085,57.6,703,0,83,0,25,180,47,0,21,72569,
290950134101,31.9,3189,19,472,90,150,251,139,23,0,33559,30.8
290950134161,37.2,2396,19,360,43,98,303,106,0,0,62135,23.3
290950135021,40.8,2180,13,322,103,107,339,60,14,0,63304,28.9
290950135022,30.3,3381,0,376,46,193,551,277,21,0,79500,26
290950021003,17.9,1604,0,128,34,34,25,7,0,0,26069,36.2
290950135041,28.5,1757,0,202,12,112,195,96,8,0,87813,28.2
290950135042,34.2,1663,0,60,7,105,362,135,22,42,85346,19.5
290950136061,52.1,1410,0,224,16,76,260,177,86,6,113036,
290950136081,62,780,0,154,19,42,196,44,0,13,72794,50
290950136082,84.4,1350,0,559,45,54,147,124,0,0,29970,50
290950136083,42.6,824,0,66,0,77,155,118,14,27,134375,
290950136084,38.5,2813,0,393,7,151,463,237,63,23,81541,37.7
290950136121,37.9,3551,0,182,0,227,646,338,26,222,106354,
290950136122,37.2,3051,0,258,0,72,664,321,129,50,109766,21.9
290950137031,37.4,1913,14,364,46,141,199,84,21,0,43625,30
290950021004,35,722,0,87,62,0,20,0,0,0,25072,44.2
290950137032,25.9,1772,0,220,66,92,282,64,0,0,26196,46.1
290950137033,38,1320,2,305,38,40,99,63,0,0,38913,21.9
290950137041,48.9,1730,0,382,12,72,298,130,15,77,82589,17.8
290950137042,36.1,1717,0,371,59,149,200,65,12,11,49306,24.8
290950137043,35,2916,0,376,16,220,504,220,32,0,84643,27.5
290950138011,26.9,2989,0,384,26,227,544,148,13,22,72588,28
290950138012,37.6,2203,0,268,20,94,316,151,54,0,72724,23
290950138021,38.9,2083,13,420,17,169,280,146,11,0,65398,23.6
290950138022,32.4,2325,0,341,45,74,295,115,18,0,90682,18
290950138023,36.6,1620,0,228,11,147,239,68,26,23,106250,23.6
290950022001,29.9,1369,76,109,33,30,9,0,0,0,22722,39.5
290950138024,41.3,1040,0,164,0,33,266,78,0,70,56992,
290950138025,44.3,1973,0,300,0,61,384,153,0,0,88347,
290950139011,47.1,2359,5,284,34,231,482,216,53,5,91250,30.2
290950139012,45.6,3422,0,685,56,170,545,112,54,33,86884,50
290950139013,55.2,699,0,94,0,35,217,42,16,24,105673,
290950139021,34.5,1187,1,202,29,55,140,23,4,0,58750,38
290950139041,35.4,2336,37,367,39,123,402,76,21,37,70481,21.3
290950139042,36.5,2084,23,357,35,149,271,58,13,0,69417,
290950139043,36.6,2455,0,198,38,93,642,168,44,0,106731,
290950139161,41.4,752,0,82,13,61,141,92,0,10,124583,
290950022002,41.7,427,0,126,51,14,0,0,0,0,14261,25.6
290950139162,32.3,4169,0,451,10,268,888,201,27,45,92159,30.5
290950139163,39.3,767,0,56,0,69,115,82,35,0,132014,
290950140021,53.1,772,0,208,33,26,114,16,0,4,87708,16.9
290950140022,39.3,950,0,152,5,65,90,19,0,5,69300,24.7
290950140041,27.2,1467,12,243,62,73,50,32,11,0,29597,44.4
290950140042,36.6,1295,0,294,32,63,114,25,0,0,57396,19.8
290950140051,34.4,2342,0,371,52,145,279,87,24,0,60455,29
290950140052,31.4,3091,0,637,113,253,131,37,11,0,58875,25.7
290950140061,32.5,6303,29,1100,222,318,558,165,18,0,63377,26.9
290950140071,29.6,4082,13,878,87,67,247,280,59,14,54783,28.9
290950022003,29.7,849,0,189,22,12,8,0,0,0,31563,50
290950140072,27.4,1713,0,369,42,77,93,13,36,11,42351,26.8
290950141011,32.2,3508,43,702,151,193,291,134,56,0,38115,30.4
290950141012,37,744,0,159,0,35,16,53,0,0,38958,36.2
290950141013,32.9,2138,14,216,50,58,272,42,0,0,61458,25.6
290950141014,49.9,778,33,193,105,47,63,0,0,0,22209,35.6
290950141051,27.4,1097,0,325,0,39,149,13,0,0,62176,
290950141052,31.7,1701,0,199,53,56,234,36,29,17,71769,28
290950141053,29.7,1353,0,154,98,103,86,39,0,0,53750,31.8
290950141054,33.5,1950,0,346,120,154,39,46,0,0,65444,18.1
290950141055,31.6,1552,0,234,12,51,220,22,46,0,63021,28.4
290950006003,34.4,733,26,137,30,86,22,0,0,0,17292,50
290950023001,38.7,647,33,133,48,39,55,10,0,0,13417,34.6
