gid,name,AreaSqKm,AreaSqMi
202,Santa Fe Hills,1.30632031276321,0.504373092505718
203,Scarritt Point,2.14529577412331,0.828303329100999
139,Sechrest,2.48799492867461,0.960620212403925
72,Self Help Neighborhood Council,0.964148573592083,0.372259845419523
219,Sheffield,2.09751372020659,0.809854574944161
220,Sheraton Estates,0.163994325645113,6.33185631202909e-002
221,Sherrydale,2.43956424419452,0.941921020586474
222,Sherwood Estates,1.12032909119825,0.43256148038954
245,Shoal Creek,84.1463031397268,32.4890692756155
223,South Blue Valley,2.28660571923268,0.882863403931239
192,South Hyde Park,0.674368573217283,0.260375161772383
193,South Indian Mound,1.57816734592035,0.609333818801049
36,South Plaza,0.590685355195724,0.22806489066048
16,South Town Fork Creek,0.931916033951888,0.359814792289139
217,Southmoreland,1.07011092174276,0.413172136764725
73,Squier Park,0.319007808012534,0.123169603265534
246,St Catherines Gardens,4.08358470183712,1.57668086797022
166,Stayton Meadows,2.82204692997396,1.08959841117103
37,Sterling Acres,1.11185458117669,0.429289453777625
194,Sterling Gardens,0.767101450741459,0.296179525952319
167,Stratford Estates,2.24379684207211,0.866334804054765
74,Stratford Gardens,0.431741047635146,0.166696150423307
38,Strupwood,0.491240136726613,0.189668877152831
168,Sunset Hill,1.26704216516127,0.48920771493306
195,Sunset Hill West,0.462213763990134,0.17846173198462
169,Swope Park Campus,0.976592300359165,0.377064395184606
170,Swope Park Ridge-Winchester,1.39399442544085,0.538224256658847
171,Swope Parkway-Elmwood,3.18709227145859,1.23054320548411
226,Tanglewood And Regency North,1.67652500657977,0.647309923890837
227,Terrace Lake Gardens,1.36216762427688,0.52593586002994
144,The Coves,3.3665011505858,1.29981336097681
145,Timber Valley,0.34972853610566,0.135030942694285
146,Tower Homes,2.58880464933187,0.999543063151754
39,Union Hill,0.4428671288517,0.170991954397137
228,Unity Ridge,2.35551188053978,0.909468221548784
229,Valentine,0.63452173927374,0.244990213175698
230,Verona Hills,1.86555443724283,0.720294595097894
231,Vineyard,1.77477940458776,0.685246159048011
232,Vineyard Estates,1.81619205235593,0.701235671742261
40,Vineyard Northwest,0.820031351935168,0.316615875054649
233,Volker,1.45559896705579,0.562009903152396
129,Waldo Homes,0.972020806926652,0.37529933170255
155,Ward Estates,0.371518671841347,0.143444161136767
147,Ward Parkway,1.92633028357284,0.743760280553155
130,Ward Parkway Plaza,0.422092783373722,0.162970934765783
234,Washington Wheatley,1.54469632316141,0.596410584665201
235,Wendell Phillips,1.75721346869459,0.67846391328284
140,West Blue Valley,0.923842262093328,0.35669749154697
148,West Plaza,1.06126388278896,0.409756275927954
141,West Waldo,0.974092737749994,0.376099308665793
236,Western 49-63,1.93177230839141,0.745861458082445
237,Western Blue Township,3.37466151202638,1.3029640941435
238,Western Hills,1.62017794482193,0.625554201718612
149,Westside North,1.26601715701276,0.488811957074398
239,Westside South,1.5293655903117,0.590491355619891
224,Westwood,0.406780887987249,0.15705897890569
240,White Oak,2.78329025781985,1.0746343763944
162,Willow Creek,1.99913022533508,0.771868495209321
241,Winnetonka,2.17093101721856,0.838201151794834
127,Winnwood,1.76622947072724,0.68194501112907
128,Winnwood Gardens,0.684814550699453,0.264408376226334
142,Woodbridge,0.617371705737894,0.238368548208432
225,Woodson Estates,0.32895870252323,0.127011665115542
143,Wornall Homestead,0.404258465545069,0.156085066156008
